<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025-12-01	01:00:00	4222.86	4231.0	4206.13	4217.05	2016	0	5
2025-12-01	01:15:00	4217.12	4224.52	4214.19	4222.14	1458	0	5
2025-12-01	01:30:00	4222.19	4225.33	4219.96	4223.65	1335	0	10
2025-12-01	01:45:00	4223.57	4224.97	4221.93	4221.93	1204	0	5
2025-12-01	02:00:00	4221.65	4224.07	4219.19	4222.88	1339	0	7
2025-12-01	02:15:00	4222.92	4232.82	4218.16	4227.18	1301	0	5
2025-12-01	02:30:00	4227.13	4232.28	4226.49	4231.92	1485	0	7
2025-12-01	02:45:00	4231.96	4233.74	4226.05	4230.85	1490	0	5
2025-12-01	03:00:00	4230.76	4233.48	4219.94	4228.28	1702	0	5
2025-12-01	03:15:00	4228.19	4239.05	4224.45	4238.48	1623	0	12
2025-12-01	03:30:00	4238.55	4243.71	4234.81	4241.3	1557	0	14
2025-12-01	03:45:00	4241.53	4256.07	4236.98	4255.1	1586	0	6
2025-12-01	04:00:00	4255.05	4256.36	4245.4	4248.07	1601	0	13
2025-12-01	04:15:00	4248.36	4248.77	4240.63	4241.24	1437	0	5
2025-12-01	04:30:00	4241.23	4241.71	4234.15	4239.79	1632	0	5
2025-12-01	04:45:00	4239.79	4243.08	4237.74	4242.77	1448	0	5
2025-12-01	05:00:00	4242.71	4243.82	4232.67	4234.18	1495	0	9
2025-12-01	05:15:00	4234.12	4238.17	4232.78	4235.17	1440	0	17
2025-12-01	05:30:00	4235.2	4240.8	4234.86	4238.27	1333	0	17
2025-12-01	05:45:00	4238.27	4239.81	4234.99	4239.36	1344	0	13
2025-12-01	06:00:00	4239.41	4239.41	4236.35	4238.79	1161	0	17
2025-12-01	06:15:00	4238.51	4240.7	4237.72	4239.75	1088	0	11
2025-12-01	06:30:00	4239.79	4243.31	4239.19	4241.86	1176	0	16
2025-12-01	06:45:00	4241.81	4246.87	4241.8	4245.68	1250	0	17
2025-12-01	07:00:00	4245.62	4246.46	4229.22	4232.72	1449	0	14
2025-12-01	07:15:00	4232.73	4233.6	4215.71	4220.17	1666	0	5
2025-12-01	07:30:00	4219.9	4227.64	4217.77	4224.12	1487	0	5
2025-12-01	07:45:00	4223.84	4231.42	4223.37	4229.62	1409	0	6
2025-12-01	08:00:00	4229.65	4233.8	4228.43	4233.18	1422	0	17
2025-12-01	08:15:00	4233.15	4233.48	4226.18	4231.58	1302	0	13
2025-12-01	08:30:00	4231.73	4235.7	4229.93	4235.31	1428	0	5
2025-12-01	08:45:00	4235.43	4240.63	4235.43	4237.04	1481	0	15
2025-12-01	09:00:00	4237.02	4239.41	4233.67	4236.92	1391	0	5
2025-12-01	09:15:00	4237.03	4242.65	4231.81	4240.44	1368	0	5
2025-12-01	09:30:00	4240.71	4243.43	4240.32	4240.38	1214	0	11
2025-12-01	09:45:00	4240.19	4246.47	4238.13	4245.38	1380	0	6
2025-12-01	10:00:00	4246.54	4252.86	4244.65	4251.05	1540	0	17
2025-12-01	10:15:00	4251.05	4253.65	4249.26	4249.56	1450	0	17
2025-12-01	10:30:00	4249.44	4250.13	4241.08	4242.4	1484	0	5
2025-12-01	10:45:00	4242.59	4244.84	4238.37	4244.84	1456	0	14
2025-12-01	11:00:00	4244.89	4249.81	4244.89	4249.36	1431	0	5
2025-12-01	11:15:00	4249.37	4251.73	4246.59	4251.5	1279	0	10
2025-12-01	11:30:00	4251.28	4251.42	4246.65	4247.47	1292	0	5
2025-12-01	11:45:00	4247.5	4250.78	4243.69	4249.95	1349	0	5
2025-12-01	12:00:00	4250.01	4262.3	4249.11	4258.84	1479	0	5
2025-12-01	12:15:00	4259.11	4259.46	4252.59	4253.73	1428	0	17
2025-12-01	12:30:00	4253.65	4255.12	4251.38	4254.44	1378	0	13
