<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025-11-03	01:00:00	3989.66	3998.22	3983.74	3996.34	1690	0	5
2025-11-03	01:15:00	3996.18	3998.95	3988.6	3994.75	940	0	5
2025-11-03	01:30:00	3994.2	3995.82	3977.83	3979.32	1078	0	5
2025-11-03	01:45:00	3979.82	3985.16	3977.82	3979.88	1016	0	12
2025-11-03	02:00:00	3979.54	3987.61	3966.59	3968.41	1148	0	5
2025-11-03	02:15:00	3968.34	3973.03	3962.74	3970.61	1231	0	5
2025-11-03	02:30:00	3970.52	3977.77	3963.54	3972.75	1239	0	5
2025-11-03	02:45:00	3972.77	3976.43	3967.73	3971.03	1225	0	9
2025-11-03	03:00:00	3971.0	3988.96	3965.48	3986.0	1466	0	11
2025-11-03	03:15:00	3986.1	3999.18	3986.01	3998.89	1384	0	14
2025-11-03	03:30:00	3998.74	4001.8	3990.62	3992.21	1335	0	5
2025-11-03	03:45:00	3992.12	4000.14	3990.21	3995.83	1285	0	5
2025-11-03	04:00:00	3996.17	3998.55	3990.37	3995.13	1215	0	5
2025-11-03	04:15:00	3995.35	4006.54	3995.35	3995.55	1168	0	16
2025-11-03	04:30:00	3995.58	4006.21	3995.0	4001.67	1214	0	16
2025-11-03	04:45:00	4001.69	4005.67	3998.21	4004.06	1166	0	16
2025-11-03	05:00:00	4004.16	4011.67	4002.37	4007.59	1252	0	5
2025-11-03	05:15:00	4007.62	4010.33	4006.0	4006.3	1128	0	5
2025-11-03	05:30:00	4006.28	4013.33	4005.71	4010.79	1067	0	14
2025-11-03	05:45:00	4010.92	4015.6	4010.9	4011.03	984	0	11
2025-11-03	06:00:00	4011.04	4014.55	4006.84	4009.76	1141	0	5
2025-11-03	06:15:00	4009.48	4009.9	4001.67	4005.4	1133	0	7
2025-11-03	06:30:00	4005.38	4007.72	4002.47	4006.91	956	0	5
2025-11-03	06:45:00	4006.91	4007.5	4002.74	4003.67	851	0	5
2025-11-03	07:00:00	4003.64	4010.16	3997.63	4007.15	1155	0	16
2025-11-03	07:15:00	4007.21	4012.57	4005.16	4012.1	976	0	16
2025-11-03	07:30:00	4012.02	4018.82	4012.02	4014.93	1175	0	6
2025-11-03	07:45:00	4014.98	4016.84	4011.32	4014.07	990	0	16
2025-11-03	08:00:00	4014.16	4017.09	4010.21	4014.49	1136	0	16
2025-11-03	08:15:00	4014.48	4018.66	4013.33	4016.23	1119	0	16
2025-11-03	08:30:00	4016.23	4018.01	4013.19	4015.57	1065	0	17
2025-11-03	08:45:00	4015.58	4018.46	4013.92	4017.44	1053	0	5
2025-11-03	09:00:00	4017.3	4023.65	4015.08	4015.45	1188	0	5
2025-11-03	09:15:00	4015.59	4020.47	4013.5	4019.04	1008	0	5
2025-11-03	09:30:00	4018.43	4023.16	4015.82	4022.0	1103	0	5
2025-11-03	09:45:00	4022.12	4026.05	4020.8	4025.19	1189	0	16
2025-11-03	10:00:00	4025.21	4027.67	4020.72	4021.58	1215	0	16
2025-11-03	10:15:00	4021.58	4023.92	4011.24	4014.43	1267	0	7
2025-11-03	10:30:00	4014.44	4017.71	4012.39	4016.64	1240	0	16
2025-11-03	10:45:00	4016.7	4020.7	4013.15	4019.77	1230	0	5
2025-11-03	11:00:00	4019.99	4025.86	4016.61	4021.65	1227	0	15
